#                                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
197652at33208_294128_0:004337|TRINITY_DN91792_c15_g1_i2:695-2233|-  -            513 197652at33208        -            436  7.2e-225  744.1  11.0   1   1  5.1e-222  1.2e-220  730.2  11.0     1   436     3   509     3   509 0.91 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 197652at33208        -            436   0.00044   16.5   4.2   1   4      0.11       2.4    4.2   0.0   186   216     5    37     1    43 0.78 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 197652at33208        -            436   0.00044   16.5   4.2   2   4     0.014      0.32    7.1   0.4   185   219    48    84    35   125 0.63 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 197652at33208        -            436   0.00044   16.5   4.2   3   4         2        47   -0.0   0.1   312   339   260   287   251   300 0.86 -
179485at33208_48498_0:003b6c|TRINITY_DN93438_c7_g1_i18:826-1845|+   -            340 197652at33208        -            436   0.00044   16.5   4.2   4   4      0.38       8.8    2.3   0.0   321   337   324   340   311   340 0.83 -
357580at33208_45779_0:001b96|TRINITY_DN90217_c3_g1_i1:390-1208|+    -            273 197652at33208        -            436    0.0005   16.3   0.0   1   1   8.2e-05    0.0019   14.4   0.0   186   258     4    79     1   139 0.59 -
222489at33208_6239_0:0039d8|TRINITY_DN91534_c7_g1_i7:1420-2211|+    -            264 197652at33208        -            436    0.0006   16.1   0.0   1   2     0.014      0.33    7.1   0.0   188   229   126   165    78   173 0.73 -
222489at33208_6239_0:0039d8|TRINITY_DN91534_c7_g1_i7:1420-2211|+    -            264 197652at33208        -            436    0.0006   16.1   0.0   2   2     0.013       0.3    7.2   0.0   279   340   186   247   177   258 0.76 -
357580at33208_29159_0:0010fb|TRINITY_DN80976_c6_g1_i4:627-1184|+    -            186 197652at33208        -            436   0.00067   15.9   0.4   1   1    0.0001    0.0023   14.1   0.4   284   343    38    98    10   182 0.78 -
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 197652at33208        -            436   0.00082   15.6   0.1   1   2         2        47   -0.0   0.0   193   214    70    91    58   101 0.71 -
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-  -            179 197652at33208        -            436   0.00082   15.6   0.1   2   2   0.00026     0.006   12.8   0.1   263   336   105   179    97   179 0.89 -
458807at33208_211228_0:00084c|TRINITY_DN76062_c4_g3_i5:5110-5655|-  -            182 197652at33208        -            436   0.00088   15.5   0.0   1   1   5.7e-05    0.0013   14.9   0.0   274   333   113   172   106   181 0.78 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 197652at33208        -            436   0.00091   15.5   1.5   1   3       4.1        95   -1.1   0.1   305   344    59   100    55   117 0.70 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 197652at33208        -            436   0.00091   15.5   1.5   2   3      0.13       2.9    3.9   0.0   302   335   162   196   133   200 0.82 -
304388at33208_7230_0:000ff2|TRINITY_DN83983_c5_g2_i1:832-1848|-     -            339 197652at33208        -            436   0.00091   15.5   1.5   3   3   0.00023    0.0054   12.9   0.1   279   339   182   246   158   256 0.79 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+   -            168 197652at33208        -            436   0.00098   15.4   0.0   1   2      0.39       8.9    2.3   0.0   313   336    13    36     1    46 0.71 -
398013at33208_88015_0:0040a5|TRINITY_DN88294_c4_g1_i9:2588-3091|+   -            168 197652at33208        -            436   0.00098   15.4   0.0   2   2   0.00069     0.016   11.4   0.0   275   330    64   120    51   147 0.81 -
537718at33208_7962_0:005b25|TRINITY_DN81366_c9_g1_i8:925-1275|-     -            117 197652at33208        -            436     0.001   15.3   0.1   1   1   4.6e-05    0.0011   15.3   0.1   264   337     1    78     1   103 0.84 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-   -             95 197652at33208        -            436    0.0015   14.7   0.6   1   2      0.15       3.4    3.7   0.0   306   334     8    36     2    41 0.55 -
357580at33208_32536_0:0034ec|TRINITY_DN87574_c7_g1_i6:4668-4952|-   -             95 197652at33208        -            436    0.0015   14.7   0.6   2   2     0.002     0.046    9.9   0.1   291   334    51    94    43    95 0.90 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-      -            693 197652at33208        -            436    0.0018   14.5   0.1   1   3     0.003     0.068    9.3   0.0   271   335    13    74     7    94 0.87 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-      -            693 197652at33208        -            436    0.0018   14.5   0.1   2   3       3.7        84   -0.9   0.0   190   215   189   214   151   254 0.71 -
92367at33208_6669_0:002c73|TRINITY_DN92879_c5_g1_i3:469-2695|-      -            693 197652at33208        -            436    0.0018   14.5   0.1   3   3      0.88        20    1.2   0.0   308   352   433   482   427   503 0.68 -
419914at33208_51655_0:000fd6|TRINITY_DN91534_c7_g1_i7:328-1056|+    -            243 197652at33208        -            436    0.0021   14.3   0.1   1   3    0.0023     0.052    9.7   0.0   189   217    30    58    24    65 0.83 -
419914at33208_51655_0:000fd6|TRINITY_DN91534_c7_g1_i7:328-1056|+    -            243 197652at33208        -            436    0.0021   14.3   0.1   2   3    0.0099      0.23    7.6   0.0   313   341    35    63    34   138 0.71 -
419914at33208_51655_0:000fd6|TRINITY_DN91534_c7_g1_i7:328-1056|+    -            243 197652at33208        -            436    0.0021   14.3   0.1   3   3       1.5        34    0.4   0.0   319   337   183   201   179   217 0.80 -
357580at33208_9258_0:000ac8|TRINITY_DN93240_c4_g1_i8:327-536|+      -             70 197652at33208        -            436    0.0022   14.2   0.1   1   2   0.00013    0.0031   13.7   0.1   302   335     2    35     1    57 0.85 -
357580at33208_9258_0:000ac8|TRINITY_DN93240_c4_g1_i8:327-536|+      -             70 197652at33208        -            436    0.0022   14.2   0.1   2   2         6   1.4e+02   -1.6   0.0   188   208    49    69    38    70 0.75 -
356175at33208_30419_0:0027b1|TRINITY_DN76062_c4_g3_i5:3496-3747|-   -             84 197652at33208        -            436    0.0023   14.2   0.0   1   1    0.0001    0.0023   14.2   0.0   185   224    17    56     3    80 0.68 -
552764at33208_118797_0:0047a5|TRINITY_DN74909_c15_g1_i1:93-674|+    -            194 197652at33208        -            436    0.0035   13.6   0.0   1   1   0.00018    0.0041   13.3   0.0   140   246     4   118     2   152 0.68 -
552764at33208_43151_0:001787|TRINITY_DN88378_c10_g2_i1:334-951|+    -            206 197652at33208        -            436    0.0039   13.4   0.0   1   1   0.00023    0.0054   12.9   0.0   140   220    33   114    17   129 0.80 -
357580at33208_10224_0:003fda|TRINITY_DN86602_c12_g1_i1:21-593|-     -            191 197652at33208        -            436    0.0042   13.3   0.1   1   2       1.3        29    0.6   0.0   302   335    43    76    35    95 0.84 -
357580at33208_10224_0:003fda|TRINITY_DN86602_c12_g1_i1:21-593|-     -            191 197652at33208        -            436    0.0042   13.3   0.1   2   2    0.0015     0.034   10.3   0.2   279   336   131   188   123   190 0.82 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+  -            317 197652at33208        -            436    0.0042   13.3   0.2   1   2     0.011      0.25    7.5   0.0   267   344    11    92     2    99 0.71 -
414579at33208_1608454_0:0055f3|TRINITY_DN87111_c8_g1_i2:933-1883|+  -            317 197652at33208        -            436    0.0042   13.3   0.2   2   2      0.18       4.2    3.4   0.0   192   219   252   279   185   293 0.55 -
365323at33208_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-    -            203 197652at33208        -            436    0.0046   13.2   0.0   1   2    0.0012     0.029   10.5   0.0   301   357     5    62     1    83 0.84 -
365323at33208_7091_0:000db0|TRINITY_DN87574_c7_g1_i6:3869-4477|-    -            203 197652at33208        -            436    0.0046   13.2   0.0   2   2       2.4        55   -0.3   0.0   194   223   168   197   149   201 0.81 -
267439at33208_29031_0:000f6a|TRINITY_DN82757_c9_g2_i2:568-771|-     -             68 197652at33208        -            436    0.0052   13.0   0.0   1   1   0.00023    0.0053   13.0   0.0   262   321     2    66     1    68 0.85 -
111730at33208_176946_0:001a89|TRINITY_DN78597_c13_g5_i1:7-555|-     -            183 197652at33208        -            436    0.0054   12.9   0.0   1   1   0.00039    0.0089   12.2   0.0   289   336    90   136    70   145 0.84 -
111746at33208_7668_0:001ea2|TRINITY_DN93543_c3_g1_i10:5631-5807|+   -             59 197652at33208        -            436    0.0058   12.8   0.0   1   1   0.00026     0.006   12.8   0.0   183   224     7    49     2    57 0.76 -
447320at33208_294128_0:0029f4|TRINITY_DN81725_c7_g1_i5:82-1241|-    -            332 197652at33208        -            436    0.0065   12.7   0.0   1   1   0.00063     0.014   11.5   0.0   282   334   129   179   119   193 0.87 -
380583at33208_438502_0:0037f3|TRINITY_DN82334_c12_g2_i1:139-291|+   -             51 197652at33208        -            436    0.0068   12.6   0.0   1   1   0.00032    0.0074   12.5   0.0   302   336     5    40     2    49 0.84 -
380583at33208_54969_0:003ca4|TRINITY_DN77863_c11_g1_i3:383-1189|-   -            269 197652at33208        -            436     0.013   11.7   0.0   1   1   0.00097     0.022   10.9   0.0   185   254   192   264   149   269 0.80 -
365323at33208_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+    -            137 197652at33208        -            436     0.019   11.1   0.1   1   2    0.0079      0.18    7.9   0.0   305   335     7    37     3    42 0.92 -
365323at33208_108931_0:001118|TRINITY_DN77898_c9_g3_i2:108-518|+    -            137 197652at33208        -            436     0.019   11.1   0.1   2   2       1.1        25    0.8   0.0   309   333   110   136    72   137 0.74 -
111746at33208_9646_0:003722|TRINITY_DN90840_c6_g1_i9:1972-3291|+    -            440 197652at33208        -            436      0.44    6.6   4.0   1   4      0.38       8.8    2.4   0.0   305   341     1    37     1    54 0.77 -
111746at33208_9646_0:003722|TRINITY_DN90840_c6_g1_i9:1972-3291|+    -            440 197652at33208        -            436      0.44    6.6   4.0   2   4       2.7        61   -0.4   0.1   318   342    70    93    59   104 0.74 -
111746at33208_9646_0:003722|TRINITY_DN90840_c6_g1_i9:1972-3291|+    -            440 197652at33208        -            436      0.44    6.6   4.0   3   4       4.7   1.1e+02   -1.2   0.0   267   334   147   214   111   219 0.53 -
111746at33208_9646_0:003722|TRINITY_DN90840_c6_g1_i9:1972-3291|+    -            440 197652at33208        -            436      0.44    6.6   4.0   4   4      0.44        10    2.2   0.0   185   221   302   341   292   369 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/197652at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/initial_run_results/197652at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/197652at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/initial_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:31:25 2026
# [ok]
