#                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
448514at33208_136037_0:0005ec|TRINITY_DN87849_c15_g1_i4:768-1757|-   -            179 448514at33208        -            271   7.7e-45  149.0   0.1   1   1   1.4e-45   9.7e-45  148.7   0.1     3    98    79   179    77   179 0.93 -
472352at33208_400682_0:0003b7|TRINITY_DN82840_c8_g1_i1:1764-2315|-   -            184 448514at33208        -            271   4.8e-05   18.5   0.2   1   2       2.1        15    0.5   0.0    81   135    18    75    11   107 0.50 -
472352at33208_400682_0:0003b7|TRINITY_DN82840_c8_g1_i1:1764-2315|-   -            184 448514at33208        -            271   4.8e-05   18.5   0.2   2   2   3.2e-05   0.00023   16.3   0.0    36    80   102   148    82   183 0.71 -
380583at33208_438502_0:0037f3|TRINITY_DN82334_c12_g2_i1:139-291|+    -             51 448514at33208        -            271   8.4e-05   17.7   0.1   1   1   1.3e-05   8.9e-05   17.7   0.1    28    67     7    48     2    50 0.78 -
448514at33208_1218281_0:001263|TRINITY_DN86602_c12_g1_i1:30-551|-    -            174 448514at33208        -            271    0.0001   17.4   2.4   1   3     0.029      0.21    6.6   0.0    29    58    32    62    25    65 0.75 -
448514at33208_1218281_0:001263|TRINITY_DN86602_c12_g1_i1:30-551|-    -            174 448514at33208        -            271    0.0001   17.4   2.4   2   3      0.73       5.1    2.0   0.4    71    97   106   131    89   140 0.73 -
448514at33208_1218281_0:001263|TRINITY_DN86602_c12_g1_i1:30-551|-    -            174 448514at33208        -            271    0.0001   17.4   2.4   3   3    0.0077     0.054    8.5   2.0    44    98   117   174   103   174 0.75 -
380583at33208_319348_0:004166|TRINITY_DN77898_c9_g3_i2:126-653|+     -            176 448514at33208        -            271   0.00011   17.3   3.8   1   2   0.00035    0.0024   12.9   3.4    29   118     1    97     1   105 0.66 -
380583at33208_319348_0:004166|TRINITY_DN77898_c9_g3_i2:126-653|+     -            176 448514at33208        -            271   0.00011   17.3   3.8   2   2      0.59       4.2    2.3   0.0   240   268   101   131    80   135 0.67 -
380583at33208_29031_0:0013b6|TRINITY_DN91534_c7_g1_i7:397-774|+      -            126 448514at33208        -            271   0.00012   17.3   0.0   1   1   1.9e-05   0.00013   17.1   0.0    30    99     5    85     1   114 0.80 -
448514at33208_441894_0:001fa2|TRINITY_DN75507_c5_g2_i8:860-1090|+    -             77 448514at33208        -            271   0.00012   17.2   0.0   1   1   2.6e-05   0.00018   16.6   0.0    27    58    43    75    34    77 0.82 -
380583at33208_7536_0:00293c|TRINITY_DN88363_c11_g1_i3:1250-1939|+    -            230 448514at33208        -            271   0.00014   17.0   0.0   1   2    0.0065     0.045    8.8   0.0    40    97    62   125    45   134 0.72 -
380583at33208_7536_0:00293c|TRINITY_DN88363_c11_g1_i3:1250-1939|+    -            230 448514at33208        -            271   0.00014   17.0   0.0   2   2       0.1      0.73    4.8   0.0    51   104   161   217   150   226 0.82 -
380583at33208_75366_0:009892|TRINITY_DN90394_c3_g1_i5:18-416|-       -            133 448514at33208        -            271   0.00025   16.2   0.1   1   1   4.4e-05   0.00031   15.9   0.1    41   134    17   117    10   125 0.74 -
380583at33208_121225_0:000a5f|TRINITY_DN69814_c0_g1_i1:1814-2458|-   -            215 448514at33208        -            271   0.00054   15.1   0.0   1   2       2.4        17    0.3   0.0   241   268    57    84    24    89 0.85 -
380583at33208_121225_0:000a5f|TRINITY_DN69814_c0_g1_i1:1814-2458|-   -            215 448514at33208        -            271   0.00054   15.1   0.0   2   2   0.00049    0.0034   12.5   0.0     3    61   114   174   112   200 0.81 -
111730at33208_240206_0:00307f|TRINITY_DN78597_c13_g3_i1:2-469|-      -            156 448514at33208        -            271   0.00087   14.4   0.0   1   1   0.00023    0.0016   13.5   0.0   199   267    45   115     4   118 0.84 -
472352at33208_6526_0:00011a|TRINITY_DN88016_c0_g6_i1:208-780|+       -            191 448514at33208        -            271    0.0013   13.8   0.0   1   1   0.00028    0.0019   13.3   0.0    39   102    92   161    72   185 0.77 -
380583at33208_62625_0:0005f7|TRINITY_DN84255_c7_g1_i5:611-1366|+     -            252 448514at33208        -            271    0.0016   13.5   0.0   1   2      0.15         1    4.3   0.0   199   267    68   136    50   140 0.73 -
380583at33208_62625_0:0005f7|TRINITY_DN84255_c7_g1_i5:611-1366|+     -            252 448514at33208        -            271    0.0016   13.5   0.0   2   2     0.033      0.23    6.4   0.0    42    63   206   227   165   232 0.80 -
380583at33208_37621_0:001ad7|TRINITY_DN93718_c1_g1_i11:1918-2430|-   -            171 448514at33208        -            271    0.0019   13.3   0.0   1   1   0.00093    0.0065   11.5   0.0     5    84    68   148    64   171 0.83 -
380583at33208_7375_0:003314|TRINITY_DN92597_c11_g2_i5:1530-2042|-    -            171 448514at33208        -            271    0.0019   13.3   0.1   1   1   0.00053    0.0037   12.3   0.1    53   144    44   138    31   165 0.74 -
380583at33208_7536_0:00293c|TRINITY_DN82317_c5_g2_i8:2175-2678|+     -            168 448514at33208        -            271    0.0021   13.1   0.2   1   2    0.0028      0.02   10.0   0.1    43    96    18    74     4    81 0.77 -
380583at33208_7536_0:00293c|TRINITY_DN82317_c5_g2_i8:2175-2678|+     -            168 448514at33208        -            271    0.0021   13.1   0.2   2   2       3.7        26   -0.3   0.0    41    57   151   167   111   168 0.74 -
380583at33208_6198_0:00341c|TRINITY_DN83891_c8_g7_i1:429-989|-       -            187 448514at33208        -            271    0.0041   12.2   0.4   1   3       3.6        25   -0.2   0.1    44    98    37    52    31    86 0.58 -
380583at33208_6198_0:00341c|TRINITY_DN83891_c8_g7_i1:429-989|-       -            187 448514at33208        -            271    0.0041   12.2   0.4   2   3    0.0045     0.032    9.3   0.0    18    65    63   114    54   119 0.83 -
380583at33208_6198_0:00341c|TRINITY_DN83891_c8_g7_i1:429-989|-       -            187 448514at33208        -            271    0.0041   12.2   0.4   3   3       3.8        27   -0.3   0.1     5    39   141   176   137   185 0.62 -
380583at33208_6279_0:0022d9|TRINITY_DN93328_c6_g1_i6:2976-3407|-     -            144 448514at33208        -            271    0.0047   12.0   0.2   1   2    0.0097     0.068    8.2   0.1    82   145     9    71     7    99 0.54 -
380583at33208_6279_0:0022d9|TRINITY_DN93328_c6_g1_i6:2976-3407|-     -            144 448514at33208        -            271    0.0047   12.0   0.2   2   2      0.35       2.5    3.1   0.0   193   232    79   117    65   128 0.70 -
380583at33208_88015_0:00177d|TRINITY_DN92010_c4_g1_i1:230-985|+      -            252 448514at33208        -            271     0.027    9.5   8.2   1   2       0.4       2.8    2.9   1.0    41    77    37    75     1   117 0.60 -
380583at33208_88015_0:00177d|TRINITY_DN92010_c4_g1_i1:230-985|+      -            252 448514at33208        -            271     0.027    9.5   8.2   2   2    0.0058      0.04    8.9   1.1    45    80   147   186   132   216 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/448514at33208.hmm
# Target file:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/hmmer_output/rerun_results/448514at33208.out --cpu 1 /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/downloads/lineages/metazoa_odb10/hmms/448514at33208.hmm /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/results/metazoa_longest_isoform/run_metazoa_odb10/metaeuk_output/rerun_results/Trinity_longest_isoform.fasta.modified.fas 
# Current dir:     /home/luigui/Documents/2026/p_monodon_transcriptome/06_busco_analysis/scripts
# Date:            Tue Feb 17 19:35:21 2026
# [ok]
